Time [s],Channel 0,Channel 1,Channel 2,Channel 7
0.000000000,0,0,1,0
0.005799000,0,0,0,0
0.005815000,1,0,0,0
0.007788000,0,0,0,0
0.007814000,0,0,1,0
0.011756000,0,0,0,0
0.011781000,0,1,0,0
0.021759000,0,0,0,0
0.025820000,1,0,0,0
0.027794000,0,0,0,0
0.027822000,0,0,1,0
0.045844000,0,0,0,0
0.045861000,1,0,0,0
0.047833000,0,0,0,0
0.047857000,0,1,0,0
0.057837000,0,0,0,0
0.057863000,0,0,1,0
0.065884000,0,0,0,0
0.065900000,1,0,0,0
0.067873000,0,0,0,0
0.067899000,0,0,1,0
0.071875000,0,0,0,0
0.085938000,1,0,0,0
0.087912000,0,0,0,0
0.087936000,0,1,0,0
0.097915000,0,0,0,0
0.097943000,0,0,1,0
0.105962000,0,0,0,0
0.105979000,1,0,0,0
0.107952000,0,0,0,0
0.107978000,0,0,1,0
0.126002000,0,0,0,0
0.126018000,1,0,0,0
0.127991000,0,0,0,0
0.128017000,0,0,1,0
0.131959000,0,0,0,0
0.131984000,0,1,0,0
0.141962000,0,0,0,0
0.146023000,1,0,0,0
0.147997000,0,0,0,0
0.148025000,0,0,1,0
0.166047000,0,0,0,0
0.166064000,1,0,0,0
0.168036000,0,0,0,0
0.168060000,0,1,0,0
0.178040000,0,0,0,0
0.178066000,0,0,1,0
0.186087000,0,0,0,0
0.186103000,1,0,0,0
0.188076000,0,0,0,0
0.188102000,0,0,1,0
0.192078000,0,0,0,0
0.205141000,1,0,0,0
0.207115000,0,0,0,0
0.207138000,0,1,0,0
0.217118000,0,0,0,0
0.217146000,0,0,1,0
0.225165000,0,0,0,0
0.225181000,1,0,0,0
0.227154000,0,0,0,0
0.227181000,0,0,1,0
0.245204000,0,0,0,0
0.245221000,1,0,0,0
0.247193000,0,0,0,0
0.247220000,0,0,1,0
0.251162000,0,0,0,0
0.251187000,0,1,0,0
0.261165000,0,0,0,0
0.265226000,1,0,0,0
0.267200000,0,0,0,0
0.267228000,0,0,1,0
0.285250000,0,0,0,0
0.285266000,1,0,0,0
0.287239000,0,0,0,0
0.287263000,0,1,0,0
0.297242000,0,0,0,0
0.297268000,0,0,1,0
0.305289000,0,0,0,0
0.305306000,1,0,0,0
0.307278000,0,0,0,0
0.307304000,0,0,1,0
0.311281000,0,0,0,0
0.325344000,1,0,0,0
0.327318000,0,0,0,0
0.327341000,0,1,0,0
0.337321000,0,0,0,0
0.337349000,0,0,1,0
0.345368000,0,0,0,0
0.345385000,1,0,0,0
0.347357000,0,0,0,0
0.347384000,0,0,1,0
0.365407000,0,0,0,0
0.365424000,1,0,0,0
0.367396000,0,0,0,0
0.367423000,0,0,1,0
0.371365000,0,0,0,0
0.371390000,0,1,0,0
0.381368000,0,0,0,0
0.385429000,1,0,0,0
0.387403000,0,0,0,0
0.387431000,0,0,1,0
0.405453000,0,0,0,0
0.405469000,1,0,0,0
0.407442000,0,0,0,0
0.407466000,0,1,0,0
0.417445000,0,0,0,0
0.417471000,0,0,1,0
