Time [s],Channel 3,Channel 4,Channel 5
0.000000000,1,0,0
0.009853000,0,0,0
0.009875000,0,1,0
0.019855000,0,0,0
0.019878000,1,0,0
0.029858000,0,0,0
0.029880000,0,1,0
0.039860000,0,0,0
0.039883000,1,0,0
0.049864000,0,0,0
0.049890000,0,0,1
0.055865000,0,0,0
0.055894000,0,0,1
0.059913000,0,0,0
0.059927000,1,0,0
0.069903000,0,0,0
0.069925000,0,1,0
0.079905000,0,0,0
0.079928000,1,0,0
0.089909000,0,0,0
0.089931000,0,1,0
0.099911000,0,0,0
0.099933000,1,0,0
0.109914000,0,0,0
0.109939000,0,0,1
0.119962000,0,0,0
0.119977000,1,0,0
0.129953000,0,0,0
0.129975000,0,1,0
0.139956000,0,0,0
0.139978000,1,0,0
0.149959000,0,0,0
0.149981000,0,1,0
0.159961000,0,0,0
0.159983000,1,0,0
0.169963000,0,0,0
0.169989000,0,0,1
0.170897000,0,0,0
0.170926000,0,0,1
0.179946000,0,0,0
0.179960000,1,0,0
0.189936000,0,0,0
0.189959000,0,1,0
0.199940000,0,0,0
0.199962000,1,0,0
0.209942000,0,0,0
0.209965000,0,1,0
0.219945000,0,0,0
0.219967000,1,0,0
0.229948000,0,0,0
0.229973000,0,0,1
0.235916000,0,0,0
0.235945000,0,0,1
0.239963000,0,0,0
0.239977000,1,0,0
0.249954000,0,0,0
0.249977000,0,1,0
0.259957000,0,0,0
0.259979000,1,0,0
0.269959000,0,0,0
0.269981000,0,1,0
0.279962000,0,0,0
0.279984000,1,0,0
0.289965000,0,0,0
0.289991000,0,0,1
0.300013000,0,0,0
0.300028000,1,0,0
0.310003000,0,0,0
0.310026000,0,1,0
0.320007000,0,0,0
0.320029000,1,0,0
0.330009000,0,0,0
0.330032000,0,1,0
0.340012000,0,0,0
0.340034000,1,0,0
0.350014000,0,0,0
0.350039000,0,0,1
0.350982000,0,0,0
0.351011000,0,0,1
0.360030000,0,0,0
0.360045000,1,0,0
0.370021000,0,0,0
0.370044000,0,1,0
0.380024000,0,0,0
0.380046000,1,0,0
0.390026000,0,0,0
0.390049000,0,1,0
0.400029000,0,0,0
0.400051000,1,0,0
0.410032000,0,0,0
0.410058000,0,0,1
0.416034000,0,0,0
0.416063000,0,0,1
0.420081000,0,0,0
0.420095000,1,0,0
0.430071000,0,0,0
0.430094000,0,1,0
0.440074000,0,0,0
0.440096000,1,0,0
0.450077000,0,0,0
0.450100000,0,1,0
0.460080000,0,0,0
0.460102000,1,0,0
0.470082000,0,0,0
0.470107000,0,0,1
0.480131000,0,0,0
0.480145000,1,0,0
0.490121000,0,0,0
0.490144000,0,1,0
0.500125000,0,0,0
0.500147000,1,0,0
0.510127000,0,0,0
0.510150000,0,1,0
0.520130000,0,0,0
0.520152000,1,0,0
0.530132000,0,0,0
0.530157000,0,0,1
0.531066000,0,0,0
0.531095000,0,0,1
0.540115000,0,0,0
0.540129000,1,0,0
0.550105000,0,0,0
0.550127000,0,1,0
0.560108000,0,0,0
0.560131000,1,0,0
0.570111000,0,0,0
0.570133000,0,1,0
0.580113000,0,0,0
0.580136000,1,0,0
0.590117000,0,0,0
0.590142000,0,0,1
0.596085000,0,0,0
0.596114000,0,0,1
0.600132000,0,0,0
0.600146000,1,0,0
0.610123000,0,0,0
0.610145000,0,1,0
0.620125000,0,0,0
0.620148000,1,0,0
0.630128000,0,0,0
0.630150000,0,1,0
0.640130000,0,0,0
0.640152000,1,0,0
0.650134000,0,0,0
0.650160000,0,0,1
0.660182000,0,0,0
0.660196000,1,0,0
0.670172000,0,0,0
0.670194000,0,1,0
0.680176000,0,0,0
0.680198000,1,0,0
0.690178000,0,0,0
0.690200000,0,1,0
0.700180000,0,0,0
0.700203000,1,0,0
0.710183000,0,0,0
0.710208000,0,0,1
0.711151000,0,0,0
0.711180000,0,0,1
0.720199000,0,0,0
0.720213000,1,0,0
0.730190000,0,0,0
0.730212000,0,1,0
0.740192000,0,0,0
0.740215000,1,0,0
0.750195000,0,0,0
0.750217000,0,1,0
0.760197000,0,0,0
0.760220000,1,0,0
0.770201000,0,0,0
0.770227000,0,0,1
0.776202000,0,0,0
0.776231000,0,0,1
0.780250000,0,0,0
0.780264000,1,0,0
0.790240000,0,0,0
0.790262000,0,1,0
0.800242000,0,0,0
0.800265000,1,0,0
0.810246000,0,0,0
0.810268000,0,1,0
0.820248000,0,0,0
0.820271000,1,0,0
0.830251000,0,0,0
0.830276000,0,0,1
0.840300000,0,0,0
0.840314000,1,0,0
0.850290000,0,0,0
0.850312000,0,1,0
0.860293000,0,0,0
0.860316000,1,0,0
0.870296000,0,0,0
0.870318000,0,1,0
0.880298000,0,0,0
0.880320000,1,0,0
0.890301000,0,0,0
0.890326000,0,0,1
0.891235000,0,0,0
0.891263000,0,0,1
0.900283000,0,0,0
0.900298000,1,0,0
0.910273000,0,0,0
0.910296000,0,1,0
0.920277000,0,0,0
0.920299000,1,0,0
0.930279000,0,0,0
0.930302000,0,1,0
0.940282000,0,0,0
0.940304000,1,0,0
0.950285000,0,0,0
0.950310000,0,0,1
0.956253000,0,0,0
0.956282000,0,0,1
0.960300000,0,0,0
0.960314000,1,0,0
0.970291000,0,0,0
0.970314000,0,1,0
0.980294000,0,0,0
0.980316000,1,0,0
0.990296000,0,0,0
0.990319000,0,1,0
1.000299000,0,0,0
1.000321000,1,0,0
1.010302000,0,0,0
1.010328000,0,0,1
1.020351000,0,0,0
1.020365000,1,0,0
1.030341000,0,0,0
1.030363000,0,1,0
1.040344000,0,0,0
1.040366000,1,0,0
1.050347000,0,0,0
1.050369000,0,1,0
1.060349000,0,0,0
1.060371000,1,0,0
1.070351000,0,0,0
1.070377000,0,0,1
1.071319000,0,0,0
1.071348000,0,0,1
1.080367000,0,0,0
1.080382000,1,0,0
1.090359000,0,0,0
1.090381000,0,1,0
1.100361000,0,0,0
1.100383000,1,0,0
1.110363000,0,0,0
1.110386000,0,1,0
1.120366000,0,0,0
1.120388000,1,0,0
1.130369000,0,0,0
1.130396000,0,0,1
1.136371000,0,0,0
1.136400000,0,0,1
1.140418000,0,0,0
1.140433000,1,0,0
1.150408000,0,0,0
1.150431000,0,1,0
1.160411000,0,0,0
1.160433000,1,0,0
1.170414000,0,0,0
1.170437000,0,1,0
1.180417000,0,0,0
1.180439000,1,0,0
1.190419000,0,0,0
1.190444000,0,0,1
1.200468000,0,0,0
1.200482000,1,0,0
1.210458000,0,0,0
1.210481000,0,1,0
1.220462000,0,0,0
1.220484000,1,0,0
1.230464000,0,0,0
1.230487000,0,1,0
1.240467000,0,0,0
1.240489000,1,0,0
1.250469000,0,0,0
1.250494000,0,0,1
1.251403000,0,0,0
1.251432000,0,0,1
1.260452000,0,0,0
1.260466000,1,0,0
1.270442000,0,0,0
1.270464000,0,1,0
1.280445000,0,0,0
1.280468000,1,0,0
1.290448000,0,0,0
1.290470000,0,1,0
1.300450000,0,0,0
1.300473000,1,0,0
1.310454000,0,0,0
1.310479000,0,0,1
1.316422000,0,0,0
1.316451000,0,0,1
1.320469000,0,0,0
1.320483000,1,0,0
1.330460000,0,0,0
1.330482000,0,1,0
1.340462000,0,0,0
1.340485000,1,0,0
1.350465000,0,0,0
1.350487000,0,1,0
1.360467000,0,0,0
1.360490000,1,0,0
1.370471000,0,0,0
1.370497000,0,0,1
1.380519000,0,0,0
1.380533000,1,0,0
1.390509000,0,0,0
1.390532000,0,1,0
1.400513000,0,0,0
1.400535000,1,0,0
1.410515000,0,0,0
1.410538000,0,1,0
1.420518000,0,0,0
1.420540000,1,0,0
1.430520000,0,0,0
1.430545000,0,0,1
1.431488000,0,0,0
1.431517000,0,0,1
1.440536000,0,0,0
1.440550000,1,0,0
1.450527000,0,0,0
1.450550000,0,1,0
1.460530000,0,0,0
1.460552000,1,0,0
1.470532000,0,0,0
1.470554000,0,1,0
1.480534000,0,0,0
1.480557000,1,0,0
1.490538000,0,0,0
1.490564000,0,0,1
1.496539000,0,0,0
1.496568000,0,0,1
1.500587000,0,0,0
1.500601000,1,0,0
1.510577000,0,0,0
1.510599000,0,1,0
1.520579000,0,0,0
1.520602000,1,0,0
1.530583000,0,0,0
1.530605000,0,1,0
1.540585000,0,0,0
1.540608000,1,0,0
1.550588000,0,0,0
1.550613000,0,0,1
1.560637000,0,0,0
1.560651000,1,0,0
1.570627000,0,0,0
1.570649000,0,1,0
1.580630000,0,0,0
1.580653000,1,0,0
1.590633000,0,0,0
1.590655000,0,1,0
1.600635000,0,0,0
1.600658000,1,0,0
1.610638000,0,0,0
1.610663000,0,0,1
1.611572000,0,0,0
1.611600000,0,0,1
1.620620000,0,0,0
1.620635000,1,0,0
1.630610000,0,0,0
1.630633000,0,1,0
1.640614000,0,0,0
1.640636000,1,0,0
1.650616000,0,0,0
1.650639000,0,1,0
1.660619000,0,0,0
1.660641000,1,0,0
1.670622000,0,0,0
1.670648000,0,0,1
1.676591000,0,0,0
1.676619000,0,0,1
1.680637000,0,0,0
1.680652000,1,0,0
1.690628000,0,0,0
1.690651000,0,1,0
1.700631000,0,0,0
1.700653000,1,0,0
1.710633000,0,0,0
1.710656000,0,1,0
1.720636000,0,0,0
1.720658000,1,0,0
1.730639000,0,0,0
1.730665000,0,0,1
1.740688000,0,0,0
1.740702000,1,0,0
1.750678000,0,0,0
1.750700000,0,1,0
1.760681000,0,0,0
1.760704000,1,0,0
1.770684000,0,0,0
1.770706000,0,1,0
1.780686000,0,0,0
1.780708000,1,0,0
1.790689000,0,0,0
1.790714000,0,0,1
1.791656000,0,0,0
1.791685000,0,0,1
1.800704000,0,0,0
1.800719000,1,0,0
1.810696000,0,0,0
1.810718000,0,1,0
1.820698000,0,0,0
1.820720000,1,0,0
1.830701000,0,0,0
1.830723000,0,1,0
1.840703000,0,0,0
1.840725000,1,0,0
1.850706000,0,0,0
1.850733000,0,0,1
1.856708000,0,0,0
1.856737000,0,0,1
1.860755000,0,0,0
1.860770000,1,0,0
1.870746000,0,0,0
1.870768000,0,1,0
1.880748000,0,0,0
1.880770000,1,0,0
1.890751000,0,0,0
1.890774000,0,1,0
1.900754000,0,0,0
1.900776000,1,0,0
1.910756000,0,0,0
1.910782000,0,0,1
1.920805000,0,0,0
1.920820000,1,0,0
1.930795000,0,0,0
1.930822000,0,1,0
1.939844000,0,0,0
1.939859000,1,0,0
1.949834000,0,0,0
1.949855000,0,1,0
1.950801000,0,0,0
1.950828000,0,1,0
1.959850000,0,0,0
1.959864000,1,0,0
1.969840000,0,0,0
1.969861000,0,1,0
1.970807000,0,0,0
1.970832000,0,0,1
1.971741000,0,0,0
1.971770000,0,0,1
1.980790000,0,0,0
1.980804000,1,0,0
1.990780000,0,0,0
1.990802000,0,1,0
2.000783000,0,0,0
2.000806000,1,0,0
2.010786000,0,0,0
2.010808000,0,1,0
2.020788000,0,0,0
2.020811000,1,0,0
2.030791000,0,0,0
2.030816000,0,0,1
2.036760000,0,0,0
2.036789000,0,0,1
2.040807000,0,0,0
2.040821000,1,0,0
2.050798000,0,0,0
2.050820000,0,1,0
2.060800000,0,0,0
2.060823000,1,0,0
2.070803000,0,0,0
2.070825000,0,1,0
2.080805000,0,0,0
2.080827000,1,0,0
2.090809000,0,0,0
