Time [s],Channel 0,Channel 1,Channel 2,Channel 7
0.000000000,0,1,0,1
0.007167000,0,0,0,1
0.007175000,0,0,0,0
0.007182000,0,0,0,1
0.007190000,1,0,0,1
0.017169000,0,0,0,1
0.017177000,0,0,0,0
0.017185000,0,0,0,1
0.017192000,0,1,0,1
0.027172000,0,0,0,1
0.027180000,0,0,0,0
0.027187000,0,0,0,1
0.027195000,1,0,0,1
0.037174000,0,0,0,1
0.037182000,0,0,0,0
0.037190000,0,0,0,1
0.037201000,0,0,1,1
0.047178000,0,0,0,1
0.047188000,0,0,0,0
0.047195000,0,0,0,1
0.047203000,1,0,0,1
0.057180000,0,0,0,1
0.057188000,0,0,0,0
0.057196000,0,0,0,1
0.057203000,0,1,0,1
0.067182000,0,0,0,1
0.067191000,0,0,0,0
0.067198000,0,0,0,1
0.067206000,1,0,0,1
0.077185000,0,0,0,1
0.077193000,0,0,0,0
0.077201000,0,0,0,1
0.077208000,0,1,0,1
0.087189000,0,0,0,1
0.087197000,0,0,0,0
0.087205000,0,0,0,1
0.087212000,1,0,0,1
0.097191000,0,0,0,1
0.097200000,0,0,0,0
0.097207000,0,0,0,1
0.097219000,0,0,1,1
0.107239000,0,0,0,1
0.107241000,0,0,0,0
0.107248000,0,0,0,1
0.107255000,1,0,0,1
0.117230000,0,0,0,1
0.117239000,0,0,0,0
0.117246000,0,0,0,1
0.117254000,0,1,0,1
0.127233000,0,0,0,1
0.127241000,0,0,0,0
0.127249000,0,0,0,1
0.127256000,1,0,0,1
0.137235000,0,0,0,1
0.137244000,0,0,0,0
0.137251000,0,0,0,1
0.137259000,0,1,0,1
0.147239000,0,0,0,1
0.147247000,0,0,0,0
0.147255000,0,0,0,1
0.147263000,1,0,0,1
0.157242000,0,0,0,1
0.157250000,0,0,0,0
0.157258000,0,0,0,1
0.157268000,0,0,1,1
0.162209000,0,0,0,1
0.162220000,0,0,0,0
0.162227000,0,0,0,1
0.162239000,0,0,1,1
0.167256000,0,0,0,1
0.167258000,0,0,0,0
0.167265000,0,0,0,1
0.167273000,1,0,0,1
0.177248000,0,0,0,1
0.177256000,0,0,0,0
0.177263000,0,0,0,1
0.177271000,0,1,0,1
0.187250000,0,0,0,1
0.187258000,0,0,0,0
0.187266000,0,0,0,1
0.187274000,1,0,0,1
