Time [s],Channel 0,Channel 1,Channel 2
0.000000000,0,0,0
0.000098000,1,0,0
0.002073000,0,0,0
0.002095000,0,1,0
0.012076000,0,0,0
0.012102000,0,0,1
0.020123000,0,0,0
0.020138000,1,0,0
0.022112000,0,0,0
0.022137000,0,0,1
0.040162000,0,0,0
0.040177000,1,0,0
0.042152000,0,0,0
0.042177000,0,0,1
0.046119000,0,0,0
0.046143000,0,1,0
0.056123000,0,0,0
0.060182000,1,0,0
0.062157000,0,0,0
0.062184000,0,0,1
0.080208000,0,0,0
0.080223000,1,0,0
0.082198000,0,0,0
0.082220000,0,1,0
0.092201000,0,0,0
0.092226000,0,0,1
0.100247000,0,0,0
0.100262000,1,0,0
0.102237000,0,0,0
0.102262000,0,0,1
0.106238000,0,0,0
0.120300000,1,0,0
0.122275000,0,0,0
0.122297000,0,1,0
0.132278000,0,0,0
0.132305000,0,0,1
0.140326000,0,0,0
0.140341000,1,0,0
0.142315000,0,0,0
0.142340000,0,0,1
0.160365000,0,0,0
0.160380000,1,0,0
0.162355000,0,0,0
0.162380000,0,0,1
0.166322000,0,0,0
0.166346000,0,1,0
0.176326000,0,0,0
0.180385000,1,0,0
0.182360000,0,0,0
0.182387000,0,0,1
0.200410000,0,0,0
0.200425000,1,0,0
0.202400000,0,0,0
0.202422000,0,1,0
0.212403000,0,0,0
0.212428000,0,0,1
0.220449000,0,0,0
0.220465000,1,0,0
0.222440000,0,0,0
0.222465000,0,0,1
0.226441000,0,0,0
0.240503000,1,0,0
0.242478000,0,0,0
0.242500000,0,1,0
0.252481000,0,0,0
0.252508000,0,0,1
0.260529000,0,0,0
0.260544000,1,0,0
0.262517000,0,0,0
0.262542000,0,0,1
0.280567000,0,0,0
0.280582000,1,0,0
0.282558000,0,0,0
0.282583000,0,0,1
0.286525000,0,0,0
0.286549000,0,1,0
0.296529000,0,0,0
0.300588000,1,0,0
0.302563000,0,0,0
0.302589000,0,0,1
0.320613000,0,0,0
0.320628000,1,0,0
0.322603000,0,0,0
0.322625000,0,1,0
0.332606000,0,0,0
0.332631000,0,0,1
0.339652000,0,0,0
0.339667000,1,0,0
0.341642000,0,0,0
0.341667000,0,0,1
0.346644000,0,0,0
0.359705000,1,0,0
0.361680000,0,0,0
0.361702000,0,1,0
0.371683000,0,0,0
0.371710000,0,0,1
0.379731000,0,0,0
0.379746000,1,0,0
0.381720000,0,0,0
0.381745000,0,0,1
0.399770000,0,0,0
0.399785000,1,0,0
0.401760000,0,0,0
0.401785000,0,0,1
0.405727000,0,0,0
0.405751000,0,1,0
0.415731000,0,0,0
0.419790000,1,0,0
0.421765000,0,0,0
0.421792000,0,0,1
0.439815000,0,0,0
0.439830000,1,0,0
0.441805000,0,0,0
0.441827000,0,1,0
0.451808000,0,0,0
0.451833000,0,0,1
0.459855000,0,0,0
0.459870000,1,0,0
0.461845000,0,0,0
0.461870000,0,0,1
0.465846000,0,0,0
0.479908000,1,0,0
0.481883000,0,0,0
0.481905000,0,1,0
0.491886000,0,0,0
0.491913000,0,0,1
0.499934000,0,0,0
0.499949000,1,0,0
0.501922000,0,0,0
0.501947000,0,0,1
0.519973000,0,0,0
0.519988000,1,0,0
0.521963000,0,0,0
0.521988000,0,0,1
0.525930000,0,0,0
0.525954000,0,1,0
0.535934000,0,0,0
0.539993000,1,0,0
0.541968000,0,0,0
0.541994000,0,0,1
0.560018000,0,0,0
0.560033000,1,0,0
0.562008000,0,0,0
0.562030000,0,1,0
0.572011000,0,0,0
0.572036000,0,0,1
0.580057000,0,0,0
0.580072000,1,0,0
0.582047000,0,0,0
0.582072000,0,0,1
0.586048000,0,0,0
0.600111000,1,0,0
0.602086000,0,0,0
0.602108000,0,1,0
0.612089000,0,0,0
0.612115000,0,0,1
0.620136000,0,0,0
0.620151000,1,0,0
0.622125000,0,0,0
0.622150000,0,0,1
0.640175000,0,0,0
0.640190000,1,0,0
0.642165000,0,0,0
0.642190000,0,0,1
0.646132000,0,0,0
0.646156000,0,1,0
0.656136000,0,0,0
0.660195000,1,0,0
0.662170000,0,0,0
0.662197000,0,0,1
0.680221000,0,0,0
0.680236000,1,0,0
0.682211000,0,0,0
0.682233000,0,1,0
0.692214000,0,0,0
0.692239000,0,0,1
0.700260000,0,0,0
0.700275000,1,0,0
0.702250000,0,0,0
0.702275000,0,0,1
0.706251000,0,0,0
0.720313000,1,0,0
0.722288000,0,0,0
0.722310000,0,1,0
0.732291000,0,0,0
0.732318000,0,0,1
0.740339000,0,0,0
0.740354000,1,0,0
0.742328000,0,0,0
0.742353000,0,0,1
0.760378000,0,0,0
0.760393000,1,0,0
0.762368000,0,0,0
0.762393000,0,0,1
0.766335000,0,0,0
0.766359000,0,1,0
0.776339000,0,0,0
0.780398000,1,0,0
0.782373000,0,0,0
0.782400000,0,0,1
0.800423000,0,0,0
0.800438000,1,0,0
0.802413000,0,0,0
0.802435000,0,1,0
0.812416000,0,0,0
0.812441000,0,0,1
0.820463000,0,0,0
0.820478000,1,0,0
0.822453000,0,0,0
0.822478000,0,0,1
0.826454000,0,0,0
0.840516000,1,0,0
0.842491000,0,0,0
0.842513000,0,1,0
0.852494000,0,0,0
0.852521000,0,0,1
0.860542000,0,0,0
0.860557000,1,0,0
0.862530000,0,0,0
0.862555000,0,0,1
0.880581000,0,0,0
0.880596000,1,0,0
0.882571000,0,0,0
0.882596000,0,0,1
0.886538000,0,0,0
0.886562000,0,1,0
0.896542000,0,0,0
0.900601000,1,0,0
0.902576000,0,0,0
0.902602000,0,0,1
0.920626000,0,0,0
0.920641000,1,0,0
0.922616000,0,0,0
0.922638000,0,1,0
0.932619000,0,0,0
0.932644000,0,0,1
0.940665000,0,0,0
0.940680000,1,0,0
0.942655000,0,0,0
0.942680000,0,0,1
0.946656000,0,0,0
0.960719000,1,0,0
0.962694000,0,0,0
0.962716000,0,1,0
0.972697000,0,0,0
0.972723000,0,0,1
0.980745000,0,0,0
0.980760000,1,0,0
0.982733000,0,0,0
0.982758000,0,0,1
1.000783000,0,0,0
1.000798000,1,0,0
1.002773000,0,0,0
1.002798000,0,0,1
1.006740000,0,0,0
1.006764000,0,1,0
1.016744000,0,0,0
1.020803000,1,0,0
1.022779000,0,0,0
1.022805000,0,0,1
1.040829000,0,0,0
1.040844000,1,0,0
1.042819000,0,0,0
1.042841000,0,1,0
1.052822000,0,0,0
1.052847000,0,0,1
1.059868000,0,0,0
1.059883000,1,0,0
1.061858000,0,0,0
1.061883000,0,0,1
1.066860000,0,0,0
1.079921000,1,0,0
1.081896000,0,0,0
1.081918000,0,1,0
1.091899000,0,0,0
1.091926000,0,0,1
1.099947000,0,0,0
1.099962000,1,0,0
1.101936000,0,0,0
1.101961000,0,0,1
1.119986000,0,0,0
1.120001000,1,0,0
1.121976000,0,0,0
1.122001000,0,0,1
1.125943000,0,0,0
1.125967000,0,1,0
1.135947000,0,0,0
1.140006000,1,0,0
1.141981000,0,0,0
1.142008000,0,0,1
1.160031000,0,0,0
1.160046000,1,0,0
1.162021000,0,0,0
1.162043000,0,1,0
1.172024000,0,0,0
1.172049000,0,0,1
1.180070000,0,0,0
1.180085000,1,0,0
1.182061000,0,0,0
1.182085000,0,0,1
1.186062000,0,0,0
1.200124000,1,0,0
1.202099000,0,0,0
1.202121000,0,1,0
1.212102000,0,0,0
1.212129000,0,0,1
1.220150000,0,0,0
1.220165000,1,0,0
1.222138000,0,0,0
1.222163000,0,0,1
1.240188000,0,0,0
1.240203000,1,0,0
1.242179000,0,0,0
1.242204000,0,0,1
1.246146000,0,0,0
1.246170000,0,1,0
1.256150000,0,0,0
1.260209000,1,0,0
1.262184000,0,0,0
1.262210000,0,0,1
1.280234000,0,0,0
1.280249000,1,0,0
1.282224000,0,0,0
1.282246000,0,1,0
1.292227000,0,0,0
1.292252000,0,0,1
1.300273000,0,0,0
1.300288000,1,0,0
1.302263000,0,0,0
1.302288000,0,0,1
1.306264000,0,0,0
1.320327000,1,0,0
1.322302000,0,0,0
1.322324000,0,1,0
1.332305000,0,0,0
1.332331000,0,0,1
1.340352000,0,0,0
1.340367000,1,0,0
1.342341000,0,0,0
1.342366000,0,0,1
1.360391000,0,0,0
1.360406000,1,0,0
1.362381000,0,0,0
1.362406000,0,0,1
1.366348000,0,0,0
1.366372000,0,1,0
1.376352000,0,0,0
1.380411000,1,0,0
1.382386000,0,0,0
1.382413000,0,0,1
1.400437000,0,0,0
1.400452000,1,0,0
1.402427000,0,0,0
1.402449000,0,1,0
1.412430000,0,0,0
1.412455000,0,0,1
1.420476000,0,0,0
1.420491000,1,0,0
1.422466000,0,0,0
1.422491000,0,0,1
1.426467000,0,0,0
1.440529000,1,0,0
1.442504000,0,0,0
1.442526000,0,1,0
1.452507000,0,0,0
1.452534000,0,0,1
1.460555000,0,0,0
1.460570000,1,0,0
1.462544000,0,0,0
1.462569000,0,0,1
1.480594000,0,0,0
1.480609000,1,0,0
1.482584000,0,0,0
1.482609000,0,0,1
1.486551000,0,0,0
1.486575000,0,1,0
1.496555000,0,0,0
1.500614000,1,0,0
1.502589000,0,0,0
1.502616000,0,0,1
1.520639000,0,0,0
1.520654000,1,0,0
1.522629000,0,0,0
1.522652000,0,1,0
1.532632000,0,0,0
1.532657000,0,0,1
1.540679000,0,0,0
1.540694000,1,0,0
1.542669000,0,0,0
1.542694000,0,0,1
1.546670000,0,0,0
1.560732000,1,0,0
1.562707000,0,0,0
1.562729000,0,1,0
1.572710000,0,0,0
1.572737000,0,0,1
1.580758000,0,0,0
1.580773000,1,0,0
1.582747000,0,0,0
1.582772000,0,0,1
1.600797000,0,0,0
1.600812000,1,0,0
1.602787000,0,0,0
1.602812000,0,0,1
1.606754000,0,0,0
1.606778000,0,1,0
1.616758000,0,0,0
1.620817000,1,0,0
1.622792000,0,0,0
1.622819000,0,0,1
1.640842000,0,0,0
1.640857000,1,0,0
1.642832000,0,0,0
1.642854000,0,1,0
1.652835000,0,0,0
1.652860000,0,0,1
1.660881000,0,0,0
1.660896000,1,0,0
1.662871000,0,0,0
1.662896000,0,0,1
1.666873000,0,0,0
1.680935000,1,0,0
1.682910000,0,0,0
1.682932000,0,1,0
1.692913000,0,0,0
1.692939000,0,0,1
1.700961000,0,0,0
1.700976000,1,0,0
1.702949000,0,0,0
1.702974000,0,0,1
1.720999000,0,0,0
1.721014000,1,0,0
1.722989000,0,0,0
1.723015000,0,0,1
1.726957000,0,0,0
1.726980000,0,1,0
1.736961000,0,0,0
1.741020000,1,0,0
1.742995000,0,0,0
1.743021000,0,0,1
1.761045000,0,0,0
1.761060000,1,0,0
1.763035000,0,0,0
1.763057000,0,1,0
1.773038000,0,0,0
1.773063000,0,0,1
1.780084000,0,0,0
1.780099000,1,0,0
1.782074000,0,0,0
1.782099000,0,0,1
1.787076000,0,0,0
1.800137000,1,0,0
1.802112000,0,0,0
1.802134000,0,1,0
1.812115000,0,0,0
1.812142000,0,0,1
1.820163000,0,0,0
1.820178000,1,0,0
1.822152000,0,0,0
1.822177000,0,0,1
1.840202000,0,0,0
1.840217000,1,0,0
1.842192000,0,0,0
1.842217000,0,0,1
1.846159000,0,0,0
1.846183000,0,1,0
1.856163000,0,0,0
1.860222000,1,0,0
1.862197000,0,0,0
1.862224000,0,0,1
1.880247000,0,0,0
1.880262000,1,0,0
1.882237000,0,0,0
1.882259000,0,1,0
1.892240000,0,0,0
1.892265000,0,0,1
1.900287000,0,0,0
1.900302000,1,0,0
1.902277000,0,0,0
1.902302000,0,0,1
1.906278000,0,0,0
1.920340000,1,0,0
1.922315000,0,0,0
1.922337000,0,1,0
1.932318000,0,0,0
1.932345000,0,0,1
1.940366000,0,0,0
1.940381000,1,0,0
1.942354000,0,0,0
1.942379000,0,0,1
1.960404000,0,0,0
1.960420000,1,0,0
1.962395000,0,0,0
1.962420000,0,0,1
1.966362000,0,0,0
1.966386000,0,1,0
1.976366000,0,0,0
1.980425000,1,0,0
1.982400000,0,0,0
1.982426000,0,0,1
2.000450000,0,0,0
2.000465000,1,0,0
2.002440000,0,0,0
2.002462000,0,1,0
2.012443000,0,0,0
2.012468000,0,0,1
2.020489000,0,0,0
2.020504000,1,0,0
2.022479000,0,0,0
2.022504000,0,0,1
2.026480000,0,0,0
2.040543000,1,0,0
2.042518000,0,0,0
2.042540000,0,1,0
2.052521000,0,0,0
2.052547000,0,0,1
2.060568000,0,0,0
2.060584000,1,0,0
2.062557000,0,0,0
2.062582000,0,0,1
2.080607000,0,0,0
2.080622000,1,0,0
2.082597000,0,0,0
2.082622000,0,0,1
2.086564000,0,0,0
2.086588000,0,1,0
2.096568000,0,0,0
2.100627000,1,0,0
2.102603000,0,0,0
2.102629000,0,0,1
2.120653000,0,0,0
2.120668000,1,0,0
2.122643000,0,0,0
2.122665000,0,1,0
2.132646000,0,0,0
2.132671000,0,0,1
2.140692000,0,0,0
2.140707000,1,0,0
2.142682000,0,0,0
2.142707000,0,0,1
2.146683000,0,0,0
2.160745000,1,0,0
2.162720000,0,0,0
2.162742000,0,1,0
2.172723000,0,0,0
2.172750000,0,0,1
2.180771000,0,0,0
2.180786000,1,0,0
2.182760000,0,0,0
2.182785000,0,0,1
2.200810000,0,0,0
