Time [s],Channel 0,Channel 1,Channel 2,Channel 7
0.000000000,0,1,0,0
0.008008000,0,0,0,0
0.008031000,1,0,0,0
0.018010000,0,0,0,0
0.018034000,0,0,1,0
0.028014000,0,0,0,0
0.028037000,1,0,0,0
0.038017000,0,0,0,0
0.038040000,0,1,0,0
0.048019000,0,0,0,0
0.048043000,1,0,0,0
0.058022000,0,0,0,0
0.058045000,0,1,0,0
0.068024000,0,0,0,0
0.068048000,1,0,0,0
0.078027000,0,0,0,0
0.078050000,0,0,1,0
0.088029000,0,0,0,0
0.088053000,1,0,0,0
0.098032000,0,0,0,0
0.098055000,0,1,0,0
0.108036000,0,0,0,0
0.108059000,1,0,0,0
0.118038000,0,0,0,0
0.118062000,0,1,0,0
0.128041000,0,0,0,0
0.128064000,1,0,0,0
0.138043000,0,0,0,0
0.138067000,0,0,1,0
0.148047000,0,0,0,0
0.148070000,1,0,0,0
0.158049000,0,0,0,0
0.158073000,0,1,0,0
0.168052000,0,0,0,0
0.168076000,1,0,0,0
0.178055000,0,0,0,0
0.178078000,0,1,0,0
0.188057000,0,0,0,0
0.188081000,1,0,0,0
0.198060000,0,0,0,0
0.198083000,0,0,1,0
0.208062000,0,0,0,0
0.208086000,1,0,0,0
0.218066000,0,0,0,0
0.218090000,0,1,0,0
0.228068000,0,0,0,0
0.228092000,1,0,0,0
0.238071000,0,0,0,0
0.238094000,0,1,0,0
0.248073000,0,0,0,0
0.248097000,1,0,0,0
0.258077000,0,0,0,0
0.258101000,0,0,1,0
0.268080000,0,0,0,0
0.268103000,1,0,0,0
0.278082000,0,0,0,0
0.278106000,0,1,0,0
0.288085000,0,0,0,0
0.288108000,1,0,0,0
0.298087000,0,0,0,0
0.298111000,0,1,0,0
0.308090000,0,0,0,0
0.308114000,1,0,0,0
0.318093000,0,0,0,0
0.318116000,0,0,1,0
0.328096000,0,0,0,0
0.328120000,1,0,0,0
0.338099000,0,0,0,0
0.338122000,0,1,0,0
0.348101000,0,0,0,0
0.348125000,1,0,0,0
0.358104000,0,0,0,0
0.358127000,0,1,0,0
0.368108000,0,0,0,0
0.368131000,1,0,0,0
0.378110000,0,0,0,0
0.378134000,0,0,1,0
0.388113000,0,0,0,0
0.388136000,1,0,0,0
0.398115000,0,0,0,0
0.398139000,0,1,0,0
0.408118000,0,0,0,0
0.408141000,1,0,0,0
0.418120000,0,0,0,0
0.418144000,0,1,0,0
0.428124000,0,0,0,0
0.428148000,1,0,0,0
0.438127000,0,0,0,0
0.438150000,0,0,1,0
0.448129000,0,0,0,0
0.448153000,1,0,0,0
0.458132000,0,0,0,0
0.458155000,0,1,0,0
0.468134000,0,0,0,0
0.468158000,1,0,0,0
0.478137000,0,0,0,0
0.478160000,0,1,0,0
0.488141000,0,0,0,0
0.488164000,1,0,0,0
0.498143000,0,0,0,0
0.498167000,0,0,1,0
0.508146000,0,0,0,0
0.508169000,1,0,0,0
0.518148000,0,0,0,0
0.518172000,0,1,0,0
0.528151000,0,0,0,0
0.528174000,1,0,0,0
0.538155000,0,0,0,0
0.538178000,0,1,0,0
0.548157000,0,0,0,0
0.548181000,1,0,0,0
0.558160000,0,0,0,0
0.558183000,0,0,1,0
0.568162000,0,0,0,0
0.568186000,1,0,0,0
0.578165000,0,0,0,0
0.578188000,0,1,0,0
0.588167000,0,0,0,0
0.588191000,1,0,0,0
0.598171000,0,0,0,0
0.598195000,0,1,0,0
0.608174000,0,0,0,0
0.608197000,1,0,0,0
0.618176000,0,0,0,0
0.618200000,0,0,1,0
0.628179000,0,0,0,0
0.628202000,1,0,0,0
0.638181000,0,0,0,0
0.638205000,0,1,0,0
0.648184000,0,0,0,0
0.648207000,1,0,0,0
0.658188000,0,0,0,0
0.658211000,0,1,0,0
0.668190000,0,0,0,0
0.668214000,1,0,0,0
0.678193000,0,0,0,0
0.678216000,0,0,1,0
0.688195000,0,0,0,0
0.688219000,1,0,0,0
0.698198000,0,0,0,0
0.698222000,0,1,0,0
0.708201000,0,0,0,0
0.708224000,1,0,0,0
0.718204000,0,0,0,0
0.718228000,0,1,0,0
0.728207000,0,0,0,0
0.728230000,1,0,0,0
0.738209000,0,0,0,0
0.738233000,0,0,1,0
0.748212000,0,0,0,0
0.748235000,1,0,0,0
0.758215000,0,0,0,0
0.758238000,0,1,0,0
0.768217000,0,0,0,0
0.768241000,1,0,0,0
0.778221000,0,0,0,0
0.778244000,0,1,0,0
0.788224000,0,0,0,0
0.788247000,1,0,0,0
0.798226000,0,0,0,0
0.798250000,0,0,1,0
0.808229000,0,0,0,0
0.808252000,1,0,0,0
