Time [s],Channel 0,Channel 1
2.358836000,0,1
2.358842000,0,0
2.408133000,1,0
2.408951000,0,1
2.408961000,0,0
2.458249000,1,0
2.459066000,0,0
2.459067000,0,1
2.459073000,0,0
2.508364000,1,0
2.509182000,0,1
2.509192000,0,0
2.558480000,1,0
2.559297000,0,0
2.559298000,0,1
2.559307000,0,0
2.608595000,1,0
2.609413000,0,1
2.609419000,0,0
2.658711000,1,0
2.659528000,0,0
2.659529000,0,1
2.659538000,0,0
2.708826000,1,0
2.709644000,0,1
2.709650000,0,0
2.758942000,1,0
2.759759000,0,0
2.759760000,0,1
2.759769000,0,0
2.809057000,1,0
2.809875000,0,1
2.809881000,0,0
2.859173000,1,0
2.859990000,0,0
2.859991000,0,1
2.860000000,0,0
2.909288000,1,0
2.910106000,0,1
2.910112000,0,0
2.959404000,1,0
2.960221000,0,0
2.960222000,0,1
2.960231000,0,0
3.009519000,1,0
3.010337000,0,1
3.010343000,0,0
3.059635000,1,0
3.060452000,0,0
3.060453000,0,1
3.060462000,0,0
3.109750000,1,0
3.110568000,0,1
3.110578000,0,0
3.159866000,1,0
3.160683000,0,0
3.160684000,0,1
3.160690000,0,0
3.209981000,1,0
3.210799000,0,1
3.210809000,0,0
3.260097000,1,0
3.260914000,0,0
3.260915000,0,1
3.260924000,0,0
3.310212000,1,0
3.311030000,0,1
3.311036000,0,0
3.360328000,1,0
3.361145000,0,0
3.361146000,0,1
3.361155000,0,0
3.410443000,1,0
3.411261000,0,1
3.411267000,0,0
3.460559000,1,0
3.461376000,0,0
3.461377000,0,1
3.461386000,0,0
3.510674000,1,0
3.511492000,0,1
3.511498000,0,0
3.560790000,1,0
3.561607000,0,0
3.561608000,0,1
3.561617000,0,0
3.610905000,1,0
3.611723000,0,1
3.611729000,0,0
3.661021000,1,0
3.661838000,0,0
3.661839000,0,1
3.661848000,0,0
3.711136000,1,0
3.711954000,0,1
3.711960000,0,0
3.761252000,1,0
3.762069000,0,0
3.762070000,0,1
3.762079000,0,0
3.811367000,1,0
3.812185000,0,1
3.812191000,0,0
3.861483000,1,0
3.862300000,0,0
3.862301000,0,1
3.862310000,0,0
3.911598000,1,0
3.912416000,0,1
3.912422000,0,0
3.961714000,1,0
3.962531000,0,0
3.962532000,0,1
3.962541000,0,0
4.011829000,1,0
4.012647000,0,1
4.012653000,0,0
4.061945000,1,0
4.062762000,0,0
4.062763000,0,1
4.062772000,0,0
4.112060000,1,0
4.112878000,0,1
4.112884000,0,0
4.162176000,1,0
4.162993000,0,0
4.162994000,0,1
4.163003000,0,0
4.212291000,1,0
4.213109000,0,1
4.213115000,0,0
4.262407000,1,0
4.263224000,0,0
4.263225000,0,1
4.263234000,0,0
4.312522000,1,0
4.313340000,0,1
4.313350000,0,0
4.362638000,1,0
4.363455000,0,0
4.363456000,0,1
4.363462000,0,0
4.412753000,1,0
4.413571000,0,1
4.413581000,0,0
4.462869000,1,0
4.463686000,0,0
4.463687000,0,1
4.463693000,0,0
4.512984000,1,0
4.513802000,0,1
4.513812000,0,0
4.563100000,1,0
4.563917000,0,0
4.563918000,0,1
4.563927000,0,0
4.613215000,1,0
4.614033000,0,1
4.614039000,0,0
4.663331000,1,0
4.664148000,0,0
4.664149000,0,1
4.664158000,0,0
4.713446000,1,0
4.714264000,0,1
4.714270000,0,0
4.763562000,1,0
4.764379000,0,0
4.764380000,0,1
4.764389000,0,0
4.813677000,1,0
4.814495000,0,1
4.814501000,0,0
4.863793000,1,0
4.864610000,0,0
4.864611000,0,1
4.864620000,0,0
4.913908000,1,0
4.914726000,0,1
4.914732000,0,0
4.964024000,1,0
4.964841000,0,0
4.964842000,0,1
4.964851000,0,0
5.014139000,1,0
5.014957000,0,1
5.014963000,0,0
5.064255000,1,0
5.065072000,0,0
5.065073000,0,1
5.065082000,0,0
5.114370000,1,0
5.115188000,0,1
5.115198000,0,0
5.164486000,1,0
5.165303000,0,0
5.165304000,0,1
5.165310000,0,0
5.214601000,1,0
5.215419000,0,1
5.215429000,0,0
5.264717000,1,0
5.265534000,0,0
5.265535000,0,1
5.265544000,0,0
5.314832000,1,0
5.315650000,0,1
5.315656000,0,0
5.364948000,1,0
5.365765000,0,0
5.365766000,0,1
5.365775000,0,0
5.415063000,1,0
5.415881000,0,1
5.415887000,0,0
5.465179000,1,0
5.465996000,0,0
5.465997000,0,1
5.466006000,0,0
5.515294000,1,0
5.516112000,0,1
5.516118000,0,0
5.565410000,1,0
5.566227000,0,0
5.566228000,0,1
5.566237000,0,0
5.615525000,1,0
5.616356000,0,1
5.616366000,0,0
5.665641000,1,0
5.666463000,0,0
5.666464000,0,1
5.666470000,0,0
5.715756000,1,0
5.716574000,0,1
5.716580000,0,0
5.765872000,1,0
5.766689000,0,0
5.766690000,0,1
5.766699000,0,0
5.815987000,1,0
5.816805000,0,1
5.816815000,0,0
5.866103000,1,0
5.866920000,0,0
5.866921000,0,1
5.866927000,0,0
5.916218000,1,0
5.917036000,0,1
5.917046000,0,0
5.966334000,1,0
5.967151000,0,0
5.967152000,0,1
5.967158000,0,0
6.016449000,1,0
6.017267000,0,1
6.017277000,0,0
6.066565000,1,0
6.067382000,0,0
6.067383000,0,1
6.067392000,0,0
6.116680000,1,0
6.117498000,0,1
6.117504000,0,0
6.166796000,1,0
6.167613000,0,0
6.167614000,0,1
6.167620000,0,0
6.216911000,1,0
6.217729000,0,1
6.217739000,0,0
6.267027000,1,0
6.267844000,0,0
6.267845000,0,1
6.267851000,0,0
6.317142000,1,0
6.317960000,0,1
6.317970000,0,0
6.367258000,1,0
6.368075000,0,0
6.368076000,0,1
6.368085000,0,0
6.417373000,1,0
6.418191000,0,1
6.418197000,0,0
6.467489000,1,0
6.468306000,0,0
6.468307000,0,1
6.468316000,0,0
6.517604000,1,0
6.518422000,0,1
6.518432000,0,0
6.567720000,1,0
6.568537000,0,0
6.568538000,0,1
6.568544000,0,0
6.617835000,1,0
6.618653000,0,1
6.618663000,0,0
6.667951000,1,0
6.668768000,0,0
6.668769000,0,1
6.668775000,0,0
6.718066000,1,0
6.718884000,0,1
6.718894000,0,0
6.768182000,1,0
6.768999000,0,0
6.769000000,0,1
6.769009000,0,0
6.818297000,1,0
6.819115000,0,1
6.819121000,0,0
6.868413000,1,0
6.869230000,0,0
6.869231000,0,1
6.869240000,0,0
6.918528000,1,0
6.919346000,0,1
6.919352000,0,0
6.968644000,1,0
6.969461000,0,0
6.969462000,0,1
6.969471000,0,0
7.018759000,1,0
7.019577000,0,1
7.019583000,0,0
7.068875000,1,0
7.069692000,0,0
7.069693000,0,1
7.069702000,0,0
7.118990000,1,0
7.119808000,0,1
7.119814000,0,0
7.169106000,1,0
7.169923000,0,0
7.169924000,0,1
7.169933000,0,0
7.219221000,1,0
7.220039000,0,1
7.220045000,0,0
7.269337000,1,0
7.270154000,0,0
7.270155000,0,1
7.270164000,0,0
7.319452000,1,0
7.320270000,0,1
7.320276000,0,0
7.369567000,1,0
7.370385000,0,0
7.370386000,0,1
7.370395000,0,0
7.419683000,1,0
7.420501000,0,1
7.420507000,0,0
7.469798000,1,0
7.470616000,0,0
7.470617000,0,1
7.470626000,0,0
7.519914000,1,0
7.520732000,0,1
7.520742000,0,0
7.570029000,1,0
7.570847000,0,0
7.570848000,0,1
7.570853000,0,0
7.620145000,1,0
7.620963000,0,1
7.620969000,0,0
7.670260000,1,0
7.671078000,0,0
7.671079000,0,1
7.671088000,0,0
7.720376000,1,0
7.721194000,0,1
7.721204000,0,0
7.770491000,1,0
7.771309000,0,0
7.771310000,0,1
7.771315000,0,0
7.820607000,1,0
7.821425000,0,1
7.821431000,0,0
7.870722000,1,0
7.871540000,0,1
7.871550000,0,0
