Time [s],Channel 0,Channel 1,Channel 2,Channel 7
0.000000000,1,0,0,0
0.002796000,0,0,0,0
0.002820000,0,0,1,0
0.012799000,0,0,0,0
0.012822000,1,0,0,0
0.022802000,0,0,0,0
0.022825000,0,1,0,0
0.032804000,0,0,0,0
0.032828000,1,0,0,0
0.042808000,0,0,0,0
0.042831000,0,1,0,0
0.052811000,0,0,0,0
0.052834000,1,0,0,0
0.062813000,0,0,0,0
0.062837000,0,0,1,0
0.072816000,0,0,0,0
0.072839000,1,0,0,0
0.082818000,0,0,0,0
0.082842000,0,1,0,0
0.092822000,0,0,0,0
0.092845000,1,0,0,0
0.102824000,0,0,0,0
0.102848000,0,1,0,0
0.112827000,0,0,0,0
0.112850000,1,0,0,0
0.122829000,0,0,0,0
0.122853000,0,0,1,0
0.132832000,0,0,0,0
0.132856000,1,0,0,0
0.142835000,0,0,0,0
0.142858000,0,1,0,0
0.152837000,0,0,0,0
0.152861000,1,0,0,0
0.162841000,0,0,0,0
0.162865000,0,1,0,0
0.172844000,0,0,0,0
0.172867000,1,0,0,0
0.182846000,0,0,0,0
0.182870000,0,0,1,0
0.192848000,0,0,0,0
0.192872000,1,0,0,0
0.202852000,0,0,0,0
0.202876000,0,1,0,0
0.212855000,0,0,0,0
0.212878000,1,0,0,0
0.222857000,0,0,0,0
0.222881000,0,1,0,0
0.232860000,0,0,0,0
0.232883000,1,0,0,0
0.242863000,0,0,0,0
0.242886000,0,0,1,0
0.252865000,0,0,0,0
0.252889000,1,0,0,0
0.262868000,0,0,0,0
0.262891000,0,1,0,0
0.272870000,0,0,0,0
0.272894000,1,0,0,0
0.282874000,0,0,0,0
0.282898000,0,1,0,0
0.292876000,0,0,0,0
0.292900000,1,0,0,0
0.302879000,0,0,0,0
0.302903000,0,0,1,0
0.312882000,0,0,0,0
0.312905000,1,0,0,0
0.322885000,0,0,0,0
0.322909000,0,1,0,0
0.332888000,0,0,0,0
0.332912000,1,0,0,0
0.342891000,0,0,0,0
0.342914000,0,1,0,0
0.352893000,0,0,0,0
0.352917000,1,0,0,0
0.362896000,0,0,0,0
0.362919000,0,0,1,0
0.372898000,0,0,0,0
0.372922000,1,0,0,0
0.382901000,0,0,0,0
0.382924000,0,1,0,0
0.392905000,0,0,0,0
0.392928000,1,0,0,0
0.402907000,0,0,0,0
0.402931000,0,1,0,0
0.412910000,0,0,0,0
0.412933000,1,0,0,0
0.422912000,0,0,0,0
0.422936000,0,0,1,0
0.432915000,0,0,0,0
0.432938000,1,0,0,0
0.442917000,0,0,0,0
0.442941000,0,1,0,0
0.452921000,0,0,0,0
0.452945000,1,0,0,0
0.462924000,0,0,0,0
0.462947000,0,1,0,0
0.472926000,0,0,0,0
0.472950000,1,0,0,0
0.482929000,0,0,0,0
0.482952000,0,0,1,0
0.492931000,0,0,0,0
0.492955000,1,0,0,0
0.502935000,0,0,0,0
0.502959000,0,1,0,0
0.512938000,0,0,0,0
0.512961000,1,0,0,0
0.522940000,0,0,0,0
0.522964000,0,1,0,0
0.532943000,0,0,0,0
0.532966000,1,0,0,0
0.542945000,0,0,0,0
0.542969000,0,0,1,0
0.552948000,0,0,0,0
0.552972000,1,0,0,0
0.562951000,0,0,0,0
0.562974000,0,1,0,0
0.572953000,0,0,0,0
0.572977000,1,0,0,0
0.582957000,0,0,0,0
0.582981000,0,1,0,0
0.592960000,0,0,0,0
0.592983000,1,0,0,0
0.602962000,0,0,0,0
0.602986000,0,0,1,0
0.612965000,0,0,0,0
0.612988000,1,0,0,0
0.622967000,0,0,0,0
0.622991000,0,1,0,0
0.632971000,0,0,0,0
0.632995000,1,0,0,0
0.642974000,0,0,0,0
0.642997000,0,1,0,0
0.652976000,0,0,0,0
0.653000000,1,0,0,0
0.662979000,0,0,0,0
0.663002000,0,0,1,0
0.672981000,0,0,0,0
0.673005000,1,0,0,0
0.682984000,0,0,0,0
0.683007000,0,1,0,0
0.692988000,0,0,0,0
0.693011000,1,0,0,0
0.702990000,0,0,0,0
0.703014000,0,1,0,0
0.712993000,0,0,0,0
0.713016000,1,0,0,0
0.722995000,0,0,0,0
0.723019000,0,0,1,0
0.732998000,0,0,0,0
0.733022000,1,0,0,0
0.743001000,0,0,0,0
0.743024000,0,1,0,0
0.753003000,0,0,0,0
0.753027000,1,0,0,0
0.763007000,0,0,0,0
0.763031000,0,1,0,0
0.773010000,0,0,0,0
0.773033000,1,0,0,0
0.783012000,0,0,0,0
0.783036000,0,0,1,0
0.793015000,0,0,0,0
0.793038000,1,0,0,0
0.803017000,0,0,0,0
0.803041000,0,1,0,0
0.813020000,0,0,0,0
0.813043000,1,0,0,0
0.823022000,0,0,0,0
0.823046000,0,1,0,0
0.833026000,0,0,0,0
0.833050000,1,0,0,0
0.843029000,0,0,0,0
0.843053000,0,0,1,0
0.853032000,0,0,0,0
0.853055000,1,0,0,0
0.863034000,0,0,0,0
0.863058000,0,1,0,0
0.873037000,0,0,0,0
0.873060000,1,0,0,0
0.883039000,0,0,0,0
0.883063000,0,1,0,0
0.893042000,0,0,0,0
0.893065000,1,0,0,0
0.903046000,0,0,0,0
0.903069000,0,0,1,0
0.913048000,0,0,0,0
0.913072000,1,0,0,0
0.923051000,0,0,0,0
0.923074000,0,1,0,0
0.933053000,0,0,0,0
0.933077000,1,0,0,0
0.943056000,0,0,0,0
0.943080000,0,1,0,0
0.953059000,0,0,0,0
0.953082000,1,0,0,0
0.963061000,0,0,0,0
0.963085000,0,0,1,0
0.973064000,0,0,0,0
0.973087000,1,0,0,0
0.983068000,0,0,0,0
0.983091000,0,1,0,0
0.993070000,0,0,0,0
0.993093000,1,0,0,0
1.003072000,0,0,0,0
1.003096000,0,1,0,0
1.013076000,0,0,0,0
1.013100000,1,0,0,0
1.023079000,0,0,0,0
1.023102000,0,0,1,0
1.033081000,0,0,0,0
1.033105000,1,0,0,0
1.043084000,0,0,0,0
1.043107000,0,1,0,0
1.053087000,0,0,0,0
1.053110000,1,0,0,0
1.063089000,0,0,0,0
1.063113000,0,1,0,0
1.073092000,0,0,0,0
1.073115000,1,0,0,0
1.083095000,0,0,0,0
1.083118000,0,0,1,0
1.093098000,0,0,0,0
1.093121000,1,0,0,0
1.103100000,0,0,0,0
1.103124000,0,1,0,0
1.113103000,0,0,0,0
1.113126000,1,0,0,0
1.123105000,0,0,0,0
1.123129000,0,1,0,0
1.133109000,0,0,0,0
1.133133000,1,0,0,0
1.143112000,0,0,0,0
1.143135000,0,0,1,0
1.153115000,0,0,0,0
1.153138000,1,0,0,0
1.163117000,0,0,0,0
1.163141000,0,1,0,0
1.173120000,0,0,0,0
1.173143000,1,0,0,0
1.183123000,0,0,0,0
1.183147000,0,1,0,0
1.193126000,0,0,0,0
1.193149000,1,0,0,0
1.203128000,0,0,0,0
1.203152000,0,0,1,0
1.213131000,0,0,0,0
1.213154000,1,0,0,0
1.223133000,0,0,0,0
1.223157000,0,1,0,0
1.233136000,0,0,0,0
1.233160000,1,0,0,0
1.243139000,0,0,0,0
1.243162000,0,1,0,0
1.253142000,0,0,0,0
1.253166000,1,0,0,0
1.263145000,0,0,0,0
1.263169000,0,0,1,0
1.273148000,0,0,0,0
1.273171000,1,0,0,0
1.283150000,0,0,0,0
1.283174000,0,1,0,0
1.293153000,0,0,0,0
1.293176000,1,0,0,0
1.303156000,0,0,0,0
1.303180000,0,1,0,0
1.313159000,0,0,0,0
1.313182000,1,0,0,0
1.323161000,0,0,0,0
1.323185000,0,0,1,0
1.333164000,0,0,0,0
1.333188000,1,0,0,0
1.343167000,0,0,0,0
1.343190000,0,1,0,0
1.353169000,0,0,0,0
1.353193000,1,0,0,0
1.363172000,0,0,0,0
1.363195000,0,1,0,0
1.373176000,0,0,0,0
1.373199000,1,0,0,0
1.383178000,0,0,0,0
1.383201000,0,0,1,0
1.393181000,0,0,0,0
1.393204000,1,0,0,0
1.403183000,0,0,0,0
1.403207000,0,1,0,0
1.413186000,0,0,0,0
1.413209000,1,0,0,0
1.423188000,0,0,0,0
1.423212000,0,1,0,0
1.433192000,0,0,0,0
1.433216000,1,0,0,0
1.443195000,0,0,0,0
1.443218000,0,0,1,0
1.453197000,0,0,0,0
1.453221000,1,0,0,0
1.463200000,0,0,0,0
1.463223000,0,1,0,0
1.473202000,0,0,0,0
1.473226000,1,0,0,0
1.483205000,0,0,0,0
1.483228000,0,1,0,0
1.493209000,0,0,0,0
1.493232000,1,0,0,0
1.503211000,0,0,0,0
1.503235000,0,0,1,0
1.513214000,0,0,0,0
1.513237000,1,0,0,0
1.523217000,0,0,0,0
1.523240000,0,1,0,0
1.533219000,0,0,0,0
1.533243000,1,0,0,0
1.543222000,0,0,0,0
1.543245000,0,1,0,0
1.553224000,0,0,0,0
1.553248000,1,0,0,0
1.563228000,0,0,0,0
1.563252000,0,0,1,0
1.573231000,0,0,0,0
1.573254000,1,0,0,0
1.583234000,0,0,0,0
1.583257000,0,1,0,0
1.593236000,0,0,0,0
1.593259000,1,0,0,0
1.603238000,0,0,0,0
1.603262000,0,1,0,0
1.613242000,0,0,0,0
1.613266000,1,0,0,0
1.623245000,0,0,0,0
1.623268000,0,0,1,0
1.633247000,0,0,0,0
1.633271000,1,0,0,0
1.643250000,0,0,0,0
1.643273000,0,1,0,0
1.653252000,0,0,0,0
1.653276000,1,0,0,0
1.663255000,0,0,0,0
1.663278000,0,1,0,0
1.673258000,0,0,0,0
1.673281000,1,0,0,0
1.683261000,0,0,0,0
1.683285000,0,0,1,0
1.693264000,0,0,0,0
1.693287000,1,0,0,0
1.703267000,0,0,0,0
1.703290000,0,1,0,0
1.713269000,0,0,0,0
1.713293000,1,0,0,0
1.723272000,0,0,0,0
1.723295000,0,1,0,0
1.733274000,0,0,0,0
1.733298000,1,0,0,0
1.743278000,0,0,0,0
1.743302000,0,0,1,0
1.753281000,0,0,0,0
1.753304000,1,0,0,0
1.763283000,0,0,0,0
1.763307000,0,1,0,0
1.773286000,0,0,0,0
1.773309000,1,0,0,0
1.783289000,0,0,0,0
1.783312000,0,1,0,0
1.793291000,0,0,0,0
1.793314000,1,0,0,0
1.803293000,0,0,0,0
1.803317000,0,0,1,0
1.813297000,0,0,0,0
1.813321000,1,0,0,0
1.823300000,0,0,0,0
1.823323000,0,1,0,0
1.833303000,0,0,0,0
1.833326000,1,0,0,0
1.843305000,0,0,0,0
1.843329000,0,1,0,0
1.853308000,0,0,0,0
1.853331000,1,0,0,0
1.863310000,0,0,0,0
1.863334000,0,0,1,0
1.873313000,0,0,0,0
1.873336000,1,0,0,0
1.883316000,0,0,0,0
1.883340000,0,1,0,0
1.893319000,0,0,0,0
1.893343000,1,0,0,0
1.903322000,0,0,0,0
1.903345000,0,1,0,0
1.913324000,0,0,0,0
1.913348000,1,0,0,0
1.923327000,0,0,0,0
1.923350000,0,0,1,0
1.933329000,0,0,0,0
1.933353000,1,0,0,0
1.943333000,0,0,0,0
1.943357000,0,1,0,0
1.953336000,0,0,0,0
1.953359000,1,0,0,0
1.963338000,0,0,0,0
1.963362000,0,1,0,0
1.973341000,0,0,0,0
1.973365000,1,0,0,0
1.983343000,0,0,0,0
1.983367000,0,0,1,0
1.993346000,0,0,0,0
1.993370000,1,0,0,0
2.003349000,0,0,0,0
2.003372000,0,1,0,0
2.013353000,0,0,0,0
2.013376000,1,0,0,0
2.023355000,0,0,0,0
2.023379000,0,1,0,0
2.033358000,0,0,0,0
2.033381000,1,0,0,0
2.043360000,0,0,0,0
2.043384000,0,0,1,0
2.053363000,0,0,0,0
2.053386000,1,0,0,0
2.063365000,0,0,0,0
2.063389000,0,1,0,0
2.073368000,0,0,0,0
2.073392000,1,0,0,0
2.083372000,0,0,0,0
2.083395000,0,1,0,0
2.093374000,0,0,0,0
2.093398000,1,0,0,0
2.103377000,0,0,0,0
2.103400000,0,0,1,0
2.113379000,0,0,0,0
2.113403000,1,0,0,0
2.123383000,0,0,0,0
2.123407000,0,1,0,0
2.133386000,0,0,0,0
2.133409000,1,0,0,0
2.143388000,0,0,0,0
2.143412000,0,1,0,0
2.153391000,0,0,0,0
2.153414000,1,0,0,0
2.163393000,0,0,0,0
2.163417000,0,0,1,0
2.173396000,0,0,0,0
2.173419000,1,0,0,0
2.183399000,0,0,0,0
2.183423000,0,1,0,0
2.193402000,0,0,0,0
2.193426000,1,0,0,0
2.203405000,0,0,0,0
2.203428000,0,1,0,0
2.213407000,0,0,0,0
2.213431000,1,0,0,0
2.223410000,0,0,0,0
2.223433000,0,0,1,0
2.233412000,0,0,0,0
2.233436000,1,0,0,0
2.243416000,0,0,0,0
2.243440000,0,1,0,0
2.253419000,0,0,0,0
2.253442000,1,0,0,0
2.263421000,0,0,0,0
2.263445000,0,1,0,0
2.273424000,0,0,0,0
2.273447000,1,0,0,0
2.283426000,0,0,0,0
2.283450000,0,0,1,0
2.293430000,0,0,0,0
2.293454000,1,0,0,0
2.303433000,0,0,0,0
2.303456000,0,1,0,0
2.313435000,0,0,0,0
2.313459000,1,0,0,0
2.323438000,0,0,0,0
2.323461000,0,1,0,0
2.333440000,0,0,0,0
2.333464000,1,0,0,0
2.343443000,0,0,0,0
2.343466000,0,0,1,0
2.353445000,0,0,0,0
2.353469000,1,0,0,0
2.363449000,0,0,0,0
2.363473000,0,1,0,0
2.373452000,0,0,0,0
2.373475000,1,0,0,0
2.383455000,0,0,0,0
2.383478000,0,1,0,0
2.393457000,0,0,0,0
2.393480000,1,0,0,0
